;fit_time;score_time;test_precision_macro;test_recall_macro;test_f1_macro
BaggingClassifier;51.27225065231323;0.6399919191996256;0.935706317526428;0.9355791976551013;0.9355450205859007
GradientBoostingClassifier;1441.9692618052165;0.8869465986887614;0.9433088675808022;0.9432472410393992;0.943237111507924
RandomForestClassifier;15.938496589660645;0.7538220087687174;0.9663663408120972;0.9662989144367122;0.9663171108630028
SGDClassifier;157.56026792526245;0.0474394957224528;0.90942059575172;0.9020973442339285;0.9037443744214739
LogisticRegression;10.74010960261027;0.04906551043192545;0.9101104034236146;0.9099766358091802;0.9099866715502953
RidgeClassifier;1.101284344991048;0.0520176887512207;0.8520756768432953;0.8477984925104813;0.8478616674486905
KNeighborsClassifier;4.3636157512664795;648.7144867579142;0.9418030300945502;0.9406925761745374;0.9409379185124193
MLPClassifier;19.749889612197876;0.11138184865315755;0.9705137565082302;0.9704980599883495;0.9704930321252462
DecisionTreeClassifier;7.773557186126709;0.04941455523173014;0.8603599013174982;0.8603690505733029;0.8602735980572294
